scope,industry,code,stock_name,indicator,required_or_optional,evidence_status,gap_type,freshness_limit_days,oldest_accepted_evidence_date,recommended_public_sources,template_status,note
industry,UNRESOLVED,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,UNRESOLVED,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,UNRESOLVED,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
industry,保险,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,保险,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,保险,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
industry,光伏,,,硅料价格,required,MISSING,missing_required,30,2026-06-07,硅业分会、行业公开报价,schema_supported,硅料价格和盈利状态
industry,光伏,,,组件排产,required,MISSING,missing_required,45,2026-05-23,行业公开周报,schema_supported,组件排产和订单变化
industry,光伏,,,产业链库存,required,MISSING,missing_required,60,2026-05-08,公开研究摘要,schema_supported,硅料、硅片、电池、组件库存
industry,光伏,,,装机需求,optional,MISSING,missing_optional,90,2026-04-08,国家能源局、公开招标数据,schema_supported,国内外装机需求和招标数据
industry,光伏,,,产能出清,optional,MISSING,missing_optional,120,2026-03-09,公司公告、行业公开资料,schema_supported,落后产能停产、减产或破产重整
industry,公用事业,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,公用事业,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,公用事业,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
industry,化工,,,产品价差,required,MISSING,missing_required,30,2026-06-07,公开化工品报价,schema_supported,重点化工品价差
industry,化工,,,开工率,required,MISSING,missing_required,45,2026-05-23,行业公开周报,schema_supported,行业开工率和检修情况
industry,化工,,,库存,required,MISSING,missing_required,60,2026-05-08,公开研究摘要,schema_supported,生产商和渠道库存
industry,化工,,,下游需求,optional,MISSING,missing_optional,90,2026-04-08,公开经济和行业数据,schema_supported,地产、纺服、汽车、出口等需求
industry,化工,,,原料成本,optional,MISSING,missing_optional,45,2026-05-23,大宗商品公开报价,schema_supported,油煤气等原料成本变化
industry,医药,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,医药,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,医药,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
industry,半导体,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,半导体,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,半导体,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
industry,地产,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,地产,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,地产,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
industry,家电,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,家电,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,家电,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
industry,工程机械,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,工程机械,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,工程机械,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
industry,有色,,,金属价格,required,MISSING,missing_required,30,2026-06-07,LME、上海期货交易所、上海有色网,schema_supported,主要金属价格趋势
industry,有色,,,库存,required,MISSING,missing_required,30,2026-06-07,交易所库存、公开库存数据,schema_supported,交易所和社会库存
industry,有色,,,加工费,required,MISSING,missing_required,60,2026-05-08,公开报价和行业周报,schema_supported,铜铝锌等加工费变化
industry,有色,,,下游需求,optional,MISSING,missing_optional,90,2026-04-08,公开经济和行业数据,schema_supported,电网、地产、汽车、出口等需求
industry,有色,,,供给扰动,optional,MISSING,missing_optional,120,2026-03-09,公司公告、行业公开资料,schema_supported,矿山、冶炼、能源约束等供给扰动
industry,机场航空,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,机场航空,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,机场航空,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
industry,水泥,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,水泥,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,水泥,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
industry,汽车,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,汽车,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,汽车,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
industry,煤炭,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,煤炭,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,煤炭,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
industry,物流,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,物流,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,物流,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
industry,玻璃,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,玻璃,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,玻璃,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
industry,电力设备,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,电力设备,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,电力设备,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
industry,白酒,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,白酒,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,白酒,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
industry,石油石化,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,石油石化,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,石油石化,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
industry,稀土,,,氧化镨钕价格,required,MISSING,missing_required,30,2026-06-07,上海有色网、公开报价,schema_supported,稀土主产品价格方向
industry,稀土,,,配额变化,required,MISSING,missing_required,180,2026-01-08,工信部、自然资源部,schema_supported,开采和冶炼分离配额变化
industry,稀土,,,磁材需求,required,MISSING,missing_required,90,2026-04-08,行业公开数据,schema_supported,新能源车、风电、工业电机磁材需求
industry,稀土,,,库存状态,optional,MISSING,missing_optional,90,2026-04-08,公开研究摘要,schema_supported,产业链库存变化
industry,稀土,,,政策监管,optional,MISSING,missing_optional,180,2026-01-08,政府公开文件,schema_supported,行业整合、监管和战略资源政策
industry,航运,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,航运,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,航运,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
industry,证券,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,证券,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,证券,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
