date,industry,evidence_name,evidence_value,evidence_direction,source,source_type,confidence,note
2026-06-24,面板,面板价格,TrendForce/WitsView公开研究入口可跟踪面板报价，但本地未取得可核验当期报价数值。,NEUTRAL,https://www.trendforce.com/searchNews?query=panel%20price%202026,research_report_summary,LOW,价格数据缺具体数值，不能形成 HIGH。
2026-06-24,面板,面板价格,WitsView研究页说明其跟踪TFT-LCD市场研究和面板价格，但当前页面未给出本期价格方向。,NEUTRAL,https://www.witsview.com/en-US/research,research_report_summary,LOW,研究入口证据，需人工补具体报价。
2026-04-30,面板,终端需求,TCL科技2026年一季度营业收入434.54亿元，同比+8.43%。,POSITIVE,https://static.cninfo.com.cn/finalpage/2026-04-30/1225258793.PDF,company_announcement,MEDIUM,公司收入改善可作产业链需求代理，不能替代行业价格。
2026-04-30,面板,终端需求,京东方A 2026年一季度营业收入510.01亿元，同比+0.80%。,NEUTRAL,https://static.cninfo.com.cn/finalpage/2026-04-30/1225258848.PDF,exchange_disclosure,MEDIUM,收入小幅增长，力度有限。
2026-04-30,面板,库存水位,京东方A一季度经营现金流122.99亿元，同比-10.51%，库存/回款压力需结合报表附注复核。,NEUTRAL,https://static.cninfo.com.cn/finalpage/2026-04-30/1225258848.PDF,company_announcement,MEDIUM,现金流不是库存水位，只能作为待复核代理。
2026-04-30,面板,稼动率,公开研究入口未提供可核验稼动率数值，当前按待复核处理。,NEUTRAL,https://www.trendforce.com/searchNews?query=panel%20utilization%202026,research_report_summary,LOW,缺少具体稼动率，不能形成方向性判断。
2026-04-30,面板,供给纪律,TCL科技一季度经营现金流113.95亿元，同比-5.63%，未单独证明行业控产。,NEUTRAL,https://static.cninfo.com.cn/finalpage/2026-04-30/1225258793.PDF,company_announcement,MEDIUM,供给纪律需行业稼动率和产线检修证据补充。
2026-04-30,面板,供给纪律,两家龙头一季报未直接披露行业供给纪律结论，当前只作为复核提示。,NEUTRAL,https://static.cninfo.com.cn/finalpage/2026-04-30/1225258848.PDF,exchange_disclosure,MEDIUM,不能用公司报表硬推行业强修复。
2026-06-24,猪肉,生猪价格,国家统计局6月中旬生猪(外三元)9.5元/千克，较6月上旬持平。,NEUTRAL,https://www.stats.gov.cn/sj/zxfb/202606/t20260623_1963989.html,official_report,HIGH,价格暂时止跌，但单点价格不能确认行业修复。
2026-06-24,猪肉,猪粮比,以统计局6月中旬生猪9.5元/千克、玉米2297.5元/吨估算，猪粮比约4.13。,NEGATIVE,https://www.stats.gov.cn/sj/zxfb/202606/t20260623_1963989.html,official_report,HIGH,仍处低盈利压力区，作为风险证据。
2026-06-24,猪肉,饲料成本,国家统计局6月中旬玉米环比+0.1%、豆粕环比+0.1%，饲料成本环比基本稳定。,NEUTRAL,https://www.stats.gov.cn/sj/zxfb/202606/t20260623_1963989.html,official_report,HIGH,成本没有明显继续恶化，但也未构成强修复证据。
2026-06-06,猪肉,生猪价格,牧原股份2026年5月商品猪销售均价9.80元/公斤，同比-32.51%。,NEGATIVE,https://static.cninfo.com.cn/finalpage/2026-06-06/1225354982.PDF,company_announcement,HIGH,龙头公司月度销售简报显示价格同比仍承压。
2026-06-06,猪肉,出栏均重,牧原股份5月商品猪销量688.3万头，同比+7.43%，供给释放仍需跟踪。,NEGATIVE,https://static.cninfo.com.cn/finalpage/2026-06-06/1225354982.PDF,company_announcement,MEDIUM,公司销量不是行业出栏均重，只能作为供给压力代理证据。
2026-05-31,猪肉,能繁母猪存栏,农业农村部官网月度畜牧数据入口需人工复核5月能繁母猪存栏，当前仅作为待复核产能指标。,NEUTRAL,https://www.moa.gov.cn/ztzl/szcpxx/,news_summary,LOW,缺少本地可核验数值，不能形成 HIGH。
2026-04-30,猪肉,能繁母猪存栏,农业农村部公开信息入口用于复核4月能繁母猪存栏变化，当前未写入方向性数值。,NEUTRAL,https://www.moa.gov.cn/ztzl/szcpxx/,news_summary,LOW,待人工补齐具体官方月报链接和数值。
2026-04-22,猪肉,饲料成本,温氏股份2026年一季度经营活动现金流为正但同比-64.99%，养殖现金回收压力仍需复核。,NEGATIVE,https://www.wens.com.cn/uploadfiles/2026/04/20260422104359416.pdf,company_announcement,MEDIUM,公司现金流不是饲料价格，作为样板行业压力代理证据。
