date,industry,cycle_phase,cycle_score,inventory_signal,price_signal,policy_signal,supply_demand_signal,source_note
2018-01-01,猪肉,bottom,82,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,面板,recovering,74,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,稀土,neutral,58,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,光伏,declining,35,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,锂电,neutral,52,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,化工,recovering,68,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,有色,neutral,60,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,钢铁,bottom,80,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,煤炭,overheating,38,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,电力设备,neutral,55,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,家电,recovering,66,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,白酒,neutral,50,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,食品饮料,neutral,50,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,银行,neutral,56,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,保险,neutral,54,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,证券,recovering,64,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,医药,bottom,78,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,医疗服务,neutral,52,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,公用事业,neutral,55,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,电力,neutral,56,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,石油石化,overheating,38,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,汽车,neutral,55,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,汽车零部件,neutral,55,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,电子,neutral,53,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,通信,recovering,65,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,半导体,recovering,67,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
2018-01-01,计算机,neutral,52,manual,manual,manual,manual,Manual sample for first real-data research loop; not investment advice.
