date,industry,cycle_phase,cycle_score,inventory_signal,price_signal,policy_signal,supply_demand_signal,source_note
2018-01-01,猪肉,bottom,82,manual_check_required,manual_check_required,manual_check_required,manual_check_required,Manual template; replace with dated public evidence before research use.
2018-01-01,面板,recovering,74,manual_check_required,manual_check_required,manual_check_required,manual_check_required,Manual template; replace with dated public evidence before research use.
2018-01-01,稀土,neutral,58,manual_check_required,manual_check_required,manual_check_required,manual_check_required,Manual template; replace with dated public evidence before research use.
2018-01-01,光伏,declining,35,manual_check_required,manual_check_required,manual_check_required,manual_check_required,Manual template; replace with dated public evidence before research use.
2018-01-01,锂电,neutral,52,manual_check_required,manual_check_required,manual_check_required,manual_check_required,Manual template; replace with dated public evidence before research use.
2018-01-01,化工,recovering,68,manual_check_required,manual_check_required,manual_check_required,manual_check_required,Manual template; replace with dated public evidence before research use.
2018-01-01,有色,neutral,60,manual_check_required,manual_check_required,manual_check_required,manual_check_required,Manual template; replace with dated public evidence before research use.
2018-01-01,钢铁,bottom,80,manual_check_required,manual_check_required,manual_check_required,manual_check_required,Manual template; replace with dated public evidence before research use.
2018-01-01,煤炭,overheating,38,manual_check_required,manual_check_required,manual_check_required,manual_check_required,Manual template; replace with dated public evidence before research use.
2018-01-01,电力设备,neutral,55,manual_check_required,manual_check_required,manual_check_required,manual_check_required,Manual template; replace with dated public evidence before research use.
2018-01-01,家电,recovering,66,manual_check_required,manual_check_required,manual_check_required,manual_check_required,Manual template; replace with dated public evidence before research use.
2018-01-01,白酒,neutral,50,manual_check_required,manual_check_required,manual_check_required,manual_check_required,Manual template; replace with dated public evidence before research use.
